iter	Passed	Remaining
409	4337	6242
410	4349	6232
411	4358	6220
412	4369	6210
413	4380	6201
414	4391	6189
415	4401	6178
416	4412	6168
417	4422	6157
418	4432	6146
419	4442	6134
420	4452	6124
421	4463	6114
422	4473	6102
423	4483	6091
424	4494	6081
425	4504	6069
426	4514	6058
427	4524	6046
428	4534	6035
429	4544	6023
430	4554	6012
431	4564	6001
432	4574	5989
433	4584	5978
434	4593	5966
435	4603	5955
436	4613	5943
437	4623	5932
438	4633	5920
439	4644	5911
440	4654	5900
441	4666	5890
442	4677	5881
443	4687	5869
444	4697	5858
445	4708	5848
446	4717	5836
447	4729	5827
448	4739	5816
449	4749	5805
450	4761	5796
451	4771	5785
452	4782	5774
453	4793	5764
454	4802	5752
455	4812	5741
456	4824	5731
457	4834	5721
458	4845	5711
459	4856	5701
460	4866	5689
461	4877	5679
462	4887	5668
463	4898	5658
464	4908	5647
465	4917	5635
466	4928	5624
467	4939	5614
468	4949	5603
469	4960	5593
470	4970	5583
471	4982	5573
472	4994	5564
473	5007	5556
474	5016	5545
475	5027	5533
476	5038	5524
477	5048	5513
478	5059	5503
479	5071	5493
480	5086	5488
481	5096	5477
482	5107	5466
483	5119	5457
484	5130	5447
485	5141	5437
486	5152	5427
487	5161	5415
488	5172	5405
489	5181	5393
490	5192	5382
491	5203	5372
492	5212	5360
493	5224	5351
494	5235	5341
495	5246	5330
496	5257	5320
497	5267	5309
498	5276	5298
499	5287	5287
500	5297	5276
501	5307	5265
502	5317	5253
503	5326	5242
504	5337	5232
505	5347	5220
506	5357	5209
507	5366	5197
508	5376	5186
509	5386	5175
510	5397	5165
511	5407	5153
512	5418	5144
513	5428	5132
514	5438	5121
515	5450	5112
516	5460	5100
517	5470	5090
518	5481	5080
519	5491	5068
520	5502	5058
521	5511	5047
522	5521	5035
523	5531	5024
524	5541	5013
525	5551	5002
526	5561	4991
527	5571	4980
528	5582	4970
529	5592	4958
530	5602	4948
531	5612	4937
532	5621	4925
533	5632	4914
534	5642	4904
535	5652	4893
536	5663	4883
537	5673	4872
538	5683	4861
539	5695	4852
540	5706	4841
541	5716	4830
542	5726	4819
543	5736	4808
544	5747	4798
545	5758	4788
546	5768	4777
547	5779	4767
548	5790	4757
549	5800	4745
550	5809	4734
551	5819	4722
552	5829	4712
553	5839	4701
554	5849	4690
555	5860	4680
556	5871	4669
557	5881	4658
558	5891	4647
559	5900	4636
560	5910	4625
561	5920	4614
562	5930	4603
563	5941	4592
564	5950	4581
565	5961	4571
566	5975	4563
567	5985	4552
568	5996	4541
569	6006	4531
570	6016	4519
571	6027	4510
572	6038	4499
573	6047	4488
574	6058	4478
575	6068	4467
576	6078	4456
577	6089	4445
578	6100	4435
579	6111	4425
580	6121	4414
581	6130	4403
582	6140	4392
583	6150	4381
584	6160	4369
585	6170	4359
586	6179	4347
587	6190	4337
588	6200	4326
589	6209	4315
590	6219	4304
591	6229	4293
592	6239	4282
593	6249	4271
594	6259	4260
595	6270	4250
596	6280	4239
597	6290	4228
598	6300	4217
599	6309	4206
600	6321	4196
601	6330	4185
602	6340	4174
603	6351	4164
604	6361	4153
605	6371	4142
606	6381	4131
607	6390	4120
608	6401	4110
609	6410	4098
610	6420	4087
611	6431	4077
612	6441	4066
613	6451	4055
614	6461	4045
615	6472	4034
616	6482	4024
617	6493	4013
618	6503	4003
619	6514	3992
620	6524	3981
621	6535	3971
622	6546	3961
623	6555	3950
624	6565	3939
625	6574	3928
626	6585	3917
627	6595	3907
628	6605	3896
629	6616	3885
630	6626	3875
631	6636	3864
632	6647	3854
633	6657	3843
634	6667	3832
